"name","region","date","value","value_daily"
"cases","ON","2020-03-20",318,60
"cases","ON","2020-03-21",377,59
"cases","ON","2020-03-22",425,48
"cases","ON","2020-03-23",503,78
"cases","ON","2020-03-24",588,85
"cases","ON","2020-03-25",687,99
"cases","ON","2020-03-26",857,170
"cases","ON","2020-03-27",992,135
"cases","ON","2020-03-28",1143,151
"cases","ON","2020-03-29",1354,211
"cases","ON","2020-03-30",1704,350
"cases","ON","2020-03-31",1964,260
"cases","ON","2020-04-01",2392,428
"cases","ON","2020-04-02",2793,401
"cases","ON","2020-04-03",3255,462
"cases","ON","2020-04-04",3630,375
"cases","ON","2020-04-05",4038,408
"cases","ON","2020-04-06",4347,309
"cases","ON","2020-04-07",4726,379
"cases","ON","2020-04-08",5276,550
"cases","ON","2020-04-09",5759,483
"cases","ON","2020-04-10",6237,478
"cases","ON","2020-04-11",6648,411
"cases","ON","2020-04-12",7049,401
"cases","ON","2020-04-13",7470,421
"cases","ON","2020-04-14",7953,483
"cases","ON","2020-04-15",8447,494
"cases","ON","2020-04-16",8961,514
"cases","ON","2020-04-17",9525,564
"cases","ON","2020-04-18",10010,485
"cases","ON","2020-04-19",10578,568
"cases","ON","2020-04-20",11184,606
"cases","ON","2020-04-21",11735,551
"cases","ON","2020-04-22",12245,510
"cases","ON","2020-04-23",12879,634
"cases","ON","2020-04-24",13519,640
"cases","ON","2020-04-25",13995,476
"cases","ON","2020-04-26",14432,437
"cases","ON","2020-04-27",14856,424
"cases","ON","2020-04-28",15381,525
"cases","ON","2020-04-29",15728,347
"cases","ON","2020-04-30",16187,459
"cases","ON","2020-05-01",16608,421
"cases","ON","2020-05-02",17119,511
"cases","ON","2020-05-03",17553,434
"cases","ON","2020-05-04",17923,370
"cases","ON","2020-05-05",18310,387
"cases","ON","2020-05-06",18722,412
"cases","ON","2020-05-07",19121,399
"cases","ON","2020-05-08",19598,477
"cases","ON","2020-05-09",19944,346
"cases","ON","2020-05-10",20238,294
"cases","ON","2020-05-11",20546,308
"cases","ON","2020-05-12",20907,361
"cases","ON","2020-05-13",21236,329
"cases","ON","2020-05-14",21494,258
"cases","ON","2020-05-15",21922,428
"cases","ON","2020-05-16",22313,391
"cases","ON","2020-05-17",22653,340
"cases","ON","2020-05-18",22957,304
"cases","ON","2020-05-19",23384,427
"cases","ON","2020-05-20",23774,390
"cases","ON","2020-05-21",24187,413
"cases","ON","2020-05-22",24628,441
"cases","ON","2020-05-23",25040,412
"cases","ON","2020-05-24",25500,460
"cases","ON","2020-05-25",25904,404
"cases","ON","2020-05-26",26191,287
"cases","ON","2020-05-27",26483,292
"cases","ON","2020-05-28",26866,383
"cases","ON","2020-05-29",27210,344
"cases","ON","2020-05-30",27533,323
"cases","ON","2020-05-31",27859,326
"cases","ON","2020-06-01",28263,404
"cases","ON","2020-06-02",28709,446
"cases","ON","2020-06-03",29047,338
"cases","ON","2020-06-04",29403,356
"cases","ON","2020-06-05",29747,344
"cases","ON","2020-06-06",30202,455
"cases","ON","2020-06-07",30617,415
"cases","ON","2020-06-08",30860,243
"cases","ON","2020-06-09",31090,230
"cases","ON","2020-06-10",31341,251
"cases","ON","2020-06-11",31544,203
"cases","ON","2020-06-12",31726,182
"cases","ON","2020-06-13",31992,266
"cases","ON","2020-06-14",32189,197
"cases","ON","2020-06-15",32370,181
"cases","ON","2020-06-16",32554,184
"cases","ON","2020-06-17",32744,190
"cases","ON","2020-06-18",32917,173
"cases","ON","2020-06-19",33095,178
"cases","ON","2020-06-20",33301,206
"cases","ON","2020-06-21",33476,175
"cases","ON","2020-06-22",33637,161
"cases","ON","2020-06-23",33853,216
"cases","ON","2020-06-24",34016,163
"cases","ON","2020-06-25",34205,189
"cases","ON","2020-06-26",34316,111
"cases","ON","2020-06-27",34476,160
"cases","ON","2020-06-28",34654,178
"cases","ON","2020-06-29",34911,257
"cases","ON","2020-06-30",35068,157
"cases","ON","2020-07-01",35217,149
"cases","ON","2020-07-02",35370,153
"cases","ON","2020-07-03",35535,165
"cases","ON","2020-07-04",35656,121
"cases","ON","2020-07-05",35794,138
"cases","ON","2020-07-06",35948,154
"cases","ON","2020-07-07",36060,112
"cases","ON","2020-07-08",36178,118
"cases","ON","2020-07-09",36348,170
"cases","ON","2020-07-10",36464,116
"cases","ON","2020-07-11",36594,130
"cases","ON","2020-07-12",36723,129
"cases","ON","2020-07-13",36839,116
"cases","ON","2020-07-14",36950,111
"cases","ON","2020-07-15",37052,102
"cases","ON","2020-07-16",37163,111
"cases","ON","2020-07-17",37274,111
"cases","ON","2020-07-18",37440,166
"cases","ON","2020-07-19",37604,164
"cases","ON","2020-07-20",37739,135
"cases","ON","2020-07-21",37942,203
"cases","ON","2020-07-22",38107,165
"cases","ON","2020-07-23",38210,103
"cases","ON","2020-07-24",38405,195
"cases","ON","2020-07-25",38543,138
"cases","ON","2020-07-26",38680,137
"cases","ON","2020-07-27",38799,119
"cases","ON","2020-07-28",38910,111
"cases","ON","2020-07-29",38986,76
"cases","ON","2020-07-30",39075,89
"cases","ON","2020-07-31",39209,134
"cases","ON","2020-08-01",39333,124
"cases","ON","2020-08-02",39449,116
"cases","ON","2020-08-03",39537,88
"cases","ON","2020-08-04",39628,91
"cases","ON","2020-08-05",39714,86
"cases","ON","2020-08-06",39809,95
"cases","ON","2020-08-07",39897,88
"cases","ON","2020-08-08",39967,70
"cases","ON","2020-08-09",40046,79
"cases","ON","2020-08-10",40161,115
"cases","ON","2020-08-11",40194,33
"cases","ON","2020-08-12",40289,95
"cases","ON","2020-08-13",40367,78
"cases","ON","2020-08-14",40459,92
"cases","ON","2020-08-15",40565,106
"cases","ON","2020-08-16",40646,81
"cases","ON","2020-08-17",40745,99
"cases","ON","2020-08-18",40870,125
"cases","ON","2020-08-19",40972,102
"cases","ON","2020-08-20",41048,76
"cases","ON","2020-08-21",41179,131
"cases","ON","2020-08-22",41287,108
"cases","ON","2020-08-23",41402,115
"cases","ON","2020-08-24",41507,105
"cases","ON","2020-08-25",41607,100
"cases","ON","2020-08-26",41695,88
"cases","ON","2020-08-27",41813,118
"cases","ON","2020-08-28",41935,122
"cases","ON","2020-08-29",42083,148
"cases","ON","2020-08-30",42195,112
"cases","ON","2020-08-31",42309,114
"cases","ON","2020-09-01",42421,112
"cases","ON","2020-09-02",42554,133
"cases","ON","2020-09-03",42686,132
"cases","ON","2020-09-04",42834,148
"cases","ON","2020-09-05",43003,169
"cases","ON","2020-09-06",43161,158
"cases","ON","2020-09-07",43351,190
"cases","ON","2020-09-08",43536,185
"cases","ON","2020-09-09",43685,149
"cases","ON","2020-09-10",43855,170
"cases","ON","2020-09-11",44068,213
"cases","ON","2020-09-12",44300,232
"cases","ON","2020-09-13",44504,204
"cases","ON","2020-09-14",44817,313
"cases","ON","2020-09-15",45068,251
"cases","ON","2020-09-16",45383,315
"cases","ON","2020-09-17",45676,293
"cases","ON","2020-09-18",46077,401
"cases","ON","2020-09-19",46484,407
"cases","ON","2020-09-20",46849,365
"cases","ON","2020-09-21",47274,425
"cases","ON","2020-09-22",47752,478
"cases","ON","2020-09-23",48087,335
"cases","ON","2020-09-24",48496,409
"cases","ON","2020-09-25",48905,409
"cases","ON","2020-09-26",49340,435
"cases","ON","2020-09-27",49831,491
"cases","ON","2020-09-28",50531,700
"cases","ON","2020-09-29",51085,554
"cases","ON","2020-09-30",51710,625
"cases","ON","2020-10-01",52248,538
"cases","ON","2020-10-02",52980,732
"cases","ON","2020-10-03",53633,653
"cases","ON","2020-10-04",54199,566
"cases","ON","2020-10-05",54814,615
"cases","ON","2020-10-06",55362,548
"cases","ON","2020-10-07",55945,583
"cases","ON","2020-10-08",56742,797
"cases","ON","2020-10-09",57681,939
"cases","ON","2020-10-10",58490,809
"cases","ON","2020-10-11",59139,649
"cases","ON","2020-10-12",59946,807
"cases","ON","2020-10-13",60692,746
"cases","ON","2020-10-14",61413,721
"cases","ON","2020-10-15",62196,783
"cases","ON","2020-10-16",62908,712
"cases","ON","2020-10-17",63713,805
"cases","ON","2020-10-18",64371,658
"cases","ON","2020-10-19",65075,704
"cases","ON","2020-10-20",65896,821
"cases","ON","2020-10-21",66686,790
"cases","ON","2020-10-22",67527,841
"cases","ON","2020-10-23",68353,826
"cases","ON","2020-10-24",69331,978
"cases","ON","2020-10-25",70373,1042
"cases","ON","2020-10-26",71224,851
"cases","ON","2020-10-27",72051,827
"cases","ON","2020-10-28",72885,834
"cases","ON","2020-10-29",73819,934
"cases","ON","2020-10-30",74715,896
"cases","ON","2020-10-31",75730,1015
"cases","ON","2020-11-01",76707,977
"cases","ON","2020-11-02",77655,948
"cases","ON","2020-11-03",78705,1050
"cases","ON","2020-11-04",79692,987
"cases","ON","2020-11-05",80690,998
"cases","ON","2020-11-06",81693,1003
"cases","ON","2020-11-07",82825,1132
"cases","ON","2020-11-08",84153,1328
"cases","ON","2020-11-09",85395,1242
"cases","ON","2020-11-10",86783,1388
"cases","ON","2020-11-11",88209,1426
"cases","ON","2020-11-12",89784,1575
"cases","ON","2020-11-13",91180,1396
"cases","ON","2020-11-14",92761,1581
"cases","ON","2020-11-15",94009,1248
"cases","ON","2020-11-16",95496,1487
"cases","ON","2020-11-17",96745,1249
"cases","ON","2020-11-18",98162,1417
"cases","ON","2020-11-19",99372,1210
"cases","ON","2020-11-20",100790,1418
"cases","ON","2020-11-21",102378,1588
"cases","ON","2020-11-22",103912,1534
"cases","ON","2020-11-23",105501,1589
"cases","ON","2020-11-24",106510,1009
"cases","ON","2020-11-25",107883,1373
"cases","ON","2020-11-26",109361,1478
"cases","ON","2020-11-27",111216,1855
"cases","ON","2020-11-28",113038,1822
"cases","ON","2020-11-29",114746,1708
"cases","ON","2020-11-30",116492,1746
"cases","ON","2020-12-01",118199,1707
"cases","ON","2020-12-02",119922,1723
"cases","ON","2020-12-03",121746,1824
"cases","ON","2020-12-04",123526,1780
"cases","ON","2020-12-05",125385,1859
"cases","ON","2020-12-06",127309,1924
"cases","ON","2020-12-07",129234,1925
"cases","ON","2020-12-08",130910,1676
"cases","ON","2020-12-09",132800,1890
"cases","ON","2020-12-10",134783,1983
"cases","ON","2020-12-11",136631,1848
"cases","ON","2020-12-12",138504,1873
"cases","ON","2020-12-13",140181,1677
"cases","ON","2020-12-14",142121,1940
"cases","ON","2020-12-15",144396,2275
"cases","ON","2020-12-16",146535,2139
"cases","ON","2020-12-17",148967,2432
"cases","ON","2020-12-18",151257,2290
"cases","ON","2020-12-19",153614,2357
"cases","ON","2020-12-20",155930,2316
"cases","ON","2020-12-21",158053,2123
"cases","ON","2020-12-22",160255,2202
"cases","ON","2020-12-23",162663,2408
"cases","ON","2020-12-24",165110,2447
"cases","ON","2020-12-25",167269,2159
"cases","ON","2020-12-26",169411,2142
"cases","ON","2020-12-27",171416,2005
"cases","ON","2020-12-28",173355,1939
"cases","ON","2020-12-29",175908,2553
"cases","ON","2020-12-30",178831,2923
"cases","ON","2020-12-31",182159,3328
"cases","ON","2021-01-01",184635,2476
